QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
argouml-master
<Package>org.argouml.activity2	org.argouml.activity2	low	low	low	low						12	39													
org.argouml.activity2.ActivityDiagramModule	ActivityDiagramModule	low	low-medium	low	low	7	15	7	1	0	9	30	28	1	0	4	0	0	0.0	0.375	0.833	0	0.0		
org.argouml.activity2.ActivityDiagramPropPanelFactory	ActivityDiagramPropPanelFactory	low	low	low	low	1	1	0	1	0	2	9	4	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.argouml.activity2.diagram	org.argouml.activity2.diagram	low	high	medium-high	low						187	847													
org.argouml.activity2.diagram.ActivityDiagramFactory	ActivityDiagramFactory	low	low	low	low	3	4	3	1	0	3	14	10	0	1	1	0	0	0.0	0.0	0.0	0	0.0		
org.argouml.activity2.diagram.ActivityDiagramGraphModel	ActivityDiagramGraphModel	low-medium	low	low	low	0	5	0	3	0	5	14	11	0	1	5	0	0	0.0	0.1	1.0	0	0.0		
org.argouml.activity2.diagram.ActivityDiagramRenderer	ActivityDiagramRenderer	medium-high	medium-high	low	low	13	149	10	2	0	6	31	28	0	1	2	0	0	0.0	0.0	1.0	0	0.0		
org.argouml.activity2.diagram.BaseDiagram	BaseDiagram	medium-high	medium-high	low-medium	low-medium	18	45	38	4	1	26	117	111	3	1	14	0	1	0.75	0.657	1.0	0	0.286		
org.argouml.activity2.diagram.CreateDiagramElementAction	CreateDiagramElementAction	low-medium	low	low	low	5	33	4	3	0	2	19	15	3	0	2	0	0	0.0	0.4	0.0	0	0.0		
org.argouml.activity2.diagram.DiagramElement	DiagramElement	low	low	low	low	0	4	0	1	7	4	5	4	0	0	4	0	0	0.0	0.5	0.0	0	0.0		
org.argouml.activity2.diagram.DiagramElementBuilder	DiagramElementBuilder	low	low-medium	low	low	6	9	5	1	0	6	47	44	0	2	0	1	0	0.0	0.0	0.0	0	0.0		
org.argouml.activity2.diagram.DiagramNode	DiagramNode	low	low	low	low	0	2	0	1	1	2	3	2	0	0	2	0	0	0.0	0.25	0.0	0	0.0		
org.argouml.activity2.diagram.FigAcceptEventPoly	FigAcceptEventPoly	medium-high	low	low	low	2	12	5	4	0	8	30	29	0	0	4	0	1	0.0	0.6	0.0	0	1.0		
org.argouml.activity2.diagram.FigActivityEdge	FigActivityEdge	medium-high	low	low	low	3	2	1	5	0	1	5	3	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.argouml.activity2.diagram.FigBaseEdge	FigBaseEdge	medium-high	low	low	low	5	6	4	4	1	3	14	11	2	0	2	0	0	0.5	0.333	0.0	1	0.0		
org.argouml.activity2.diagram.FigBaseNode	FigBaseNode	medium-high	low	low	medium-high	5	27	15	4	0	10	44	40	3	0	8	0	4	0.933	0.75	1.0	1	2.0		
org.argouml.activity2.diagram.FigBasePresentation	FigBasePresentation	medium-high	low	low-medium	low-medium	5	17	13	4	4	11	54	48	2	2	11	0	6	0.821	0.691	0.833	0	2.182		
org.argouml.activity2.diagram.FigCompartment	FigCompartment	medium-high	medium-high	low-medium	low-medium	11	37	25	4	1	14	71	70	0	0	7	0	2	0.0	0.643	0.0	1	1.143		
org.argouml.activity2.diagram.FigComposite	FigComposite	low-medium	low	low	low-medium	2	17	9	3	2	10	38	35	1	1	9	0	2	0.714	0.667	1.0	1	0.667		
org.argouml.activity2.diagram.FigGravityPoly	FigGravityPoly	low-medium	low	low	low	1	8	4	3	1	4	12	11	0	0	4	0	2	0.0	0.5	0.0	0	1.5		
org.argouml.activity2.diagram.FigNameCompartment	FigNameCompartment	medium-high	low-medium	low	low	7	5	3	5	0	1	13	12	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.argouml.activity2.diagram.FigNamedConcavePentagon	FigNamedConcavePentagon	medium-high	low	low	low	2	3	2	5	0	2	30	25	0	0	2	0	0	0.0	0.2	0.0	0	0.0		
org.argouml.activity2.diagram.FigNamedPentagon	FigNamedPentagon	medium-high	low	low	low	3	5	3	5	0	3	32	26	0	1	3	0	1	0.0	0.4	0.0	0	1.667		
org.argouml.activity2.diagram.FigNamedRRect	FigNamedRRect	medium-high	low	low	low	2	4	1	5	0	4	29	16	0	1	4	0	2	0.0	0.5	0.0	0	2.5		
org.argouml.activity2.diagram.FigNamedRect	FigNamedRect	medium-high	low	low	low	2	2	1	5	0	2	23	12	0	0	2	0	0	0.0	0.2	0.0	0	0.0		
org.argouml.activity2.diagram.FigNotation	FigNotation	low-medium	low-medium	low-medium	medium-high	7	55	45	3	0	20	74	70	1	1	12	0	2	1.0	0.787	0.985	0	0.5		
org.argouml.activity2.diagram.ModePlaceDiagramElement	ModePlaceDiagramElement	low-medium	medium-high	low-medium	medium-high	16	53	35	3	0	19	81	70	6	3	12	0	10	0.889	0.759	0.8	2	2.5		
org.argouml.activity2.diagram.NameDisplayer	NameDisplayer	low	low	low	low	1	1	0	1	5	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.argouml.activity2.diagram.StereotypeDisplayer	StereotypeDisplayer	low	low	low	low	1	1	0	1	5	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
