QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	#(C&I)	#C	#I	LOC	AC	EC	Abs	Ins	ND	WMC	Coverage	
argouml-master
<Package>org.argouml.activity2	org.argouml.activity2	low	low	low	low	3	3	0	39	0	2	0.0	1.0	0.0	12		
<Package>org.argouml.activity2.diagram	org.argouml.activity2.diagram	low	high	medium-high	low	30	26	4	847	1	23	0.133	0.958	0.091	187		
<Package>org.argouml.application	org.argouml.application	low	low	low-medium	low	6	6	0	476	0	4	0.0	1.0	0.0	97		
<Package>org.argouml.application.api	org.argouml.application.api	low	low	low-medium	low	7	2	5	170	91	2	0.857	0.022	0.121	31		
<Package>org.argouml.application.events	org.argouml.application.events	low	low-medium	medium-high	low	16	9	7	353	41	7	0.5	0.146	0.354	121		
<Package>org.argouml.application.helpers	org.argouml.application.helpers	low	low	low-medium	low	3	3	0	372	98	1	0.0	0.01	0.99	66		
<Package>org.argouml.cognitive	org.argouml.cognitive	medium-high	low-medium	medium-high	low	30	25	5	1661	166	7	0.2	0.04	0.76	565		
<Package>org.argouml.cognitive.checklist	org.argouml.cognitive.checklist	low	low	low	low	4	4	0	102	3	1	0.0	0.25	0.75	38		
<Package>org.argouml.cognitive.checklist.ui	org.argouml.cognitive.checklist.ui	low	low	low	low	3	3	0	186	1	2	0.0	0.667	0.333	56		
<Package>org.argouml.cognitive.critics	org.argouml.cognitive.critics	low	low	low	low	3	2	1	100	31	0	0.667	0.0	0.333	40		
<Package>org.argouml.cognitive.critics.ui	org.argouml.cognitive.critics.ui	low	low	low-medium	low	4	4	0	468	1	4	0.0	0.8	0.2	92		
<Package>org.argouml.cognitive.ui	org.argouml.cognitive.ui	medium-high	high	high	low	39	39	0	2331	15	38	0.077	0.717	0.206	517		
<Package>org.argouml.configuration	org.argouml.configuration	low	low	low-medium	low	7	5	2	397	50	0	0.429	0.0	0.571	143		
<Package>org.argouml.core.propertypanels.model	org.argouml.core.propertypanels.model	low-medium	low	very-high	low	81	77	4	1439	9	3	0.062	0.25	0.688	432		
<Package>org.argouml.core.propertypanels.module	org.argouml.core.propertypanels.module	low	low	low	low	1	1	0	33	0	1	0.0	1.0	0.0	10		
<Package>org.argouml.core.propertypanels.ui	org.argouml.core.propertypanels.ui	high	very-high	very-high	low	223	217	6	6863	1	159	0.031	0.994	0.025	1951		
<Package>org.argouml.deployment2	org.argouml.deployment2	low	low	low	low	3	3	0	41	0	2	0.0	1.0	0.0	12		
<Package>org.argouml.deployment2.diagram	org.argouml.deployment2.diagram	low	low	low-medium	low	6	6	0	311	1	5	0.0	0.833	0.167	75		
<Package>org.argouml.gefext	org.argouml.gefext	low	medium-high	medium-high	low	15	15	0	354	1	15	0.0	0.938	0.062	92		
<Package>org.argouml.i18n	org.argouml.i18n	low	low	low	low	1	1	0	134	423	1	0.0	0.002	0.998	32		
<Package>org.argouml.kernel	org.argouml.kernel	medium-high	low-medium	medium-high	low	27	19	8	1937	175	8	0.407	0.044	0.549	638		
<Package>org.argouml.language.ui	org.argouml.language.ui	low	low	low	low	1	1	0	34	1	1	0.0	0.5	0.5	8		
<Package>org.argouml.model	org.argouml.model	high	low	very-high	low	87	32	55	2646	878	1	0.793	0.001	0.206	1773		
<Package>org.argouml.model.euml	org.argouml.model.euml	very-high	high	very-high	low	43	43	0	7356	0	41	0.023	1.0	0.023	2487		
<Package>org.argouml.model.mdr	org.argouml.model.mdr	very-high	high	very-high	low	49	46	3	13818	0	42	0.082	1.0	0.082	4939		
<Package>org.argouml.moduleloader	org.argouml.moduleloader	low	low	low-medium	low	8	6	2	508	13	3	0.25	0.188	0.562	149		
<Package>org.argouml.notation	org.argouml.notation	low	low	low-medium	low	9	7	2	619	96	5	0.333	0.05	0.617	183		
<Package>org.argouml.notation.providers	org.argouml.notation.providers	low	high	medium-high	low	21	21	0	389	25	21	0.952	0.457	0.409	150		
<Package>org.argouml.notation.providers.java	org.argouml.notation.providers.java	low	low-medium	low-medium	low	7	7	0	441	1	7	0.0	0.875	0.125	143		
<Package>org.argouml.notation.providers.uml	org.argouml.notation.providers.uml	high	high	medium-high	low	29	28	1	4017	8	24	0.069	0.75	0.181	1292		
<Package>org.argouml.notation.ui	org.argouml.notation.ui	low	low	low-medium	low	3	3	0	251	1	3	0.0	0.75	0.25	37		
<Package>org.argouml.notation2	org.argouml.notation2	low	low	medium-high	low	11	7	4	151	3	4	0.364	0.571	0.065	45		
