QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
java-design-patterns
<Package>com.iluwatar.eda	com.iluwatar.eda	low	low	low	low						1	8													
com.iluwatar.eda.App	App	low	low-medium	low	low	6	7	2	1	0	1	8	7	0	0	0	1	0	0.0	0.0	0.0	0	0.0		
<Package>com.iluwatar.eda.event	com.iluwatar.eda.event	low	low	low	low						1	11													
com.iluwatar.eda.event.AbstractEvent	AbstractEvent	low	low	low	low	0	2	1	1	2	1	3	2	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
com.iluwatar.eda.event.UserCreatedEvent	UserCreatedEvent	low-medium	low	low	low	1	0	0	2	0	0	4	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
com.iluwatar.eda.event.UserUpdatedEvent	UserUpdatedEvent	low-medium	low	low	low	1	0	0	2	0	0	4	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>com.iluwatar.eda.framework	com.iluwatar.eda.framework	low	low	low	low						6	18													
com.iluwatar.eda.framework.Event	Event	low	low	low	low	0	1	0	1	1	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
com.iluwatar.eda.framework.EventDispatcher	EventDispatcher	low	low	low	low	1	7	4	1	0	4	14	12	1	0	3	0	0	0.0	0.5	0.0	0	0.0		
com.iluwatar.eda.framework.Handler<E>	Handler	low	low	low	low	0	1	0	1	2	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>com.iluwatar.eda.handler	com.iluwatar.eda.handler	low	low	low	low						2	10													
com.iluwatar.eda.handler.UserCreatedEventHandler	UserCreatedEventHandler	low	low	low	low	2	2	1	1	0	1	5	3	0	1	1	0	0	0.0	0.0	0.0	0	0.0		
com.iluwatar.eda.handler.UserUpdatedEventHandler	UserUpdatedEventHandler	low	low	low	low	2	2	1	1	0	1	5	3	0	1	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>com.iluwatar.eda.model	com.iluwatar.eda.model	low	low	low	low						0	4													
com.iluwatar.eda.model.User	User	low	low	low	low	0	0	0	1	0	0	4	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
