QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
jfreechart-master
<Package>org.jfree.chart	org.jfree.chart	medium-high	low	medium-high	low						576	2441													
org.jfree.chart.ChartColor	ChartColor	low-medium	low	low-medium	low	0	2	0	2	0	2	64	39	0	24	1	1	0	0.0	0.25	1.0	0	0.0		
org.jfree.chart.ChartElement	ChartElement	low	low	low	low	1	1	0	1	7	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.ChartElementVisitor	ChartElementVisitor	low	low	low	low	1	1	0	1	0	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.ChartFactory	ChartFactory	very-high	very-high	medium-high	medium-high	81	232	84	1	0	137	782	780	0	1	0	50	0	0.0	0.799	0.569	3	0.0		
org.jfree.chart.ChartHints	ChartHints	low	low	low	low	0	1	0	1	0	1	17	1	0	2	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.ChartRenderingInfo	ChartRenderingInfo	low-medium	low	low-medium	medium-high	5	67	12	1	0	21	63	58	3	1	13	0	0	0.614	0.756	0.345	0	0.0		
org.jfree.chart.ChartTheme	ChartTheme	low	low	low	low	1	1	0	1	1	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.ChartTransferable	ChartTransferable	low-medium	low	low-medium	low	1	100	8	1	0	14	79	69	8	0	7	0	0	0.625	0.457	0.733	0	0.0		
org.jfree.chart.ChartUtils	ChartUtils	high	medium-high	low-medium	low-medium	13	151	32	1	0	35	174	173	0	0	0	29	0	0.0	0.674	0.0	0	0.0		
org.jfree.chart.Drawable	Drawable	low	low	low	low	0	1	0	1	2	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.JFreeChart	JFreeChart	very-high	very-high	very-high	very-high	31	237	119	1	0	158	570	537	17	7	73	0	0	0.921	0.944	0.881	2	0.0		
org.jfree.chart.StandardChartTheme	StandardChartTheme	very-high	very-high	very-high	very-high	51	298	156	1	1	200	684	649	32	0	90	3	0	0.91	0.954	0.894	13	0.0		
<Package>org.jfree.chart.annotations	org.jfree.chart.annotations	low-medium	medium-high	medium-high	low						457	1929													
org.jfree.chart.annotations.AbstractAnnotation	AbstractAnnotation	low	low	low	medium-high	2	20	11	1	3	15	41	37	2	0	11	0	0	0.556	0.766	0.533	0	0.0		
org.jfree.chart.annotations.AbstractXYAnnotation	AbstractXYAnnotation	low-medium	low-medium	low	medium-high	6	14	5	2	9	17	50	46	2	0	9	0	0	0.333	0.756	0.476	1	0.0		
org.jfree.chart.annotations.Annotation	Annotation	low	low	low	low	1	2	0	1	3	2	3	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.annotations.CategoryAnnotation	CategoryAnnotation	low	low	low	low	3	1	0	1	2	1	3	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.annotations.CategoryLineAnnotation	CategoryLineAnnotation	medium-high	medium-high	low-medium	high	12	115	31	2	0	29	143	133	6	1	19	0	0	0.723	0.85	0.559	1	0.0		
org.jfree.chart.annotations.CategoryPointerAnnotation	CategoryPointerAnnotation	high	medium-high	low-medium	high	13	165	40	4	0	35	174	158	8	6	23	0	1	0.854	0.87	0.629	2	0.174		
org.jfree.chart.annotations.CategoryTextAnnotation	CategoryTextAnnotation	medium-high	medium-high	low-medium	high	11	133	30	3	1	19	87	80	3	1	11	0	0	0.611	0.81	0.4	1	0.0		
org.jfree.chart.annotations.TextAnnotation	TextAnnotation	low-medium	low	low-medium	high	5	72	19	2	1	25	96	82	6	6	17	0	0	0.87	0.824	0.659	0	0.0		
org.jfree.chart.annotations.XYAnnotation	XYAnnotation	low	low	low	low	3	1	0	1	1	1	4	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.annotations.XYAnnotationBoundsInfo	XYAnnotationBoundsInfo	low	low	low	low	1	3	0	1	1	3	4	3	0	0	3	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.annotations.XYBoxAnnotation	XYBoxAnnotation	low-medium	low-medium	low-medium	high	9	93	25	3	0	31	124	114	7	1	16	0	0	0.688	0.846	0.659	1	0.0		
org.jfree.chart.annotations.XYDataImageAnnotation	XYDataImageAnnotation	low-medium	low-medium	low-medium	high	9	40	19	3	0	29	112	104	6	0	16	0	0	0.667	0.856	0.626	1	0.0		
org.jfree.chart.annotations.XYDrawableAnnotation	XYDrawableAnnotation	low-medium	low-medium	low-medium	medium-high	8	37	20	3	0	22	106	97	6	1	11	0	0	0.643	0.8	0.545	1	0.0		
org.jfree.chart.annotations.XYImageAnnotation	XYImageAnnotation	low-medium	low-medium	low-medium	high	9	49	24	3	0	23	92	85	4	1	12	0	0	0.657	0.833	0.578	1	0.0		
org.jfree.chart.annotations.XYLineAnnotation	XYLineAnnotation	medium-high	medium-high	low-medium	high	11	108	27	3	0	28	128	119	6	1	14	0	0	0.675	0.852	0.576	1	0.0		
org.jfree.chart.annotations.XYPointerAnnotation	XYPointerAnnotation	high	medium-high	low-medium	high	12	182	48	4	0	38	187	171	8	6	23	0	1	0.854	0.87	0.629	2	0.174		
org.jfree.chart.annotations.XYPolygonAnnotation	XYPolygonAnnotation	low-medium	low-medium	low-medium	high	10	96	30	3	0	30	116	109	4	1	13	0	0	0.533	0.828	0.6	1	0.0		
org.jfree.chart.annotations.XYShapeAnnotation	XYShapeAnnotation	medium-high	low-medium	low-medium	medium-high	10	126	33	3	0	22	105	98	4	1	9	0	0	0.24	0.786	0.714	1	0.0		
org.jfree.chart.annotations.XYTextAnnotation	XYTextAnnotation	high	medium-high	medium-high	high	13	170	42	3	1	50	205	184	12	6	31	0	0	0.891	0.898	0.768	1	0.0		
org.jfree.chart.annotations.XYTitleAnnotation	XYTitleAnnotation	low-medium	medium-high	low-medium	high	20	71	35	3	0	37	149	139	7	1	15	0	0	0.698	0.824	0.581	4	0.0		
<Package>org.jfree.chart.api	org.jfree.chart.api	low	low	medium-high	low						105	418													
org.jfree.chart.api.HorizontalAlignment	HorizontalAlignment	low-medium	low	low	low	0	0	0	2	0	0	4	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.Layer	Layer	low-medium	low	low	low	0	0	0	2	0	0	3	0	0	2	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.LengthAdjustmentType	LengthAdjustmentType	low-medium	low	low	low	0	0	0	2	0	0	4	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.PublicCloneable	PublicCloneable	low	low	low	low	0	1	0	1	139	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.RectangleAlignment	RectangleAlignment	low-medium	low	low-medium	low	1	11	10	2	0	13	74	61	0	12	1	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.RectangleAnchor	RectangleAnchor	low-medium	low	low-medium	low	2	12	10	2	0	20	85	75	0	9	1	1	0	0.0	0.4	0.0	1	0.0		
org.jfree.chart.api.RectangleEdge	RectangleEdge	low-medium	low	low	low	0	8	4	2	0	12	33	28	0	4	0	4	0	0.333	0.25	0.167	0	0.0		
org.jfree.chart.api.RectangleInsets	RectangleInsets	medium-high	low	low-medium	medium-high	3	37	18	1	0	57	188	179	5	2	29	0	0	0.67	0.734	0.741	0	0.0		
org.jfree.chart.api.Rotation	Rotation	low-medium	low	low	low	0	2	0	2	0	2	8	4	1	2	2	0	0	1.333	0.25	0.0	0	0.0		
org.jfree.chart.api.SortOrder	SortOrder	low-medium	low	low	low	0	0	0	2	0	0	3	0	0	2	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.TableOrder	TableOrder	low-medium	low	low	low	0	0	0	2	0	0	3	0	0	2	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.UnitType	UnitType	low-medium	low	low	low	0	0	0	2	0	0	3	0	0	2	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.VerticalAlignment	VerticalAlignment	low-medium	low	low	low	0	0	0	2	0	0	4	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.api.XYCoordinateType	XYCoordinateType	low-medium	low	low	low	0	0	0	2	0	0	4	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.jfree.chart.axis	org.jfree.chart.axis	high	high	very-high	low						1828	7056													
org.jfree.chart.axis.Axis	Axis	very-high	medium-high	very-high	very-high	20	253	83	1	2	160	601	554	26	16	78	0	0	0.963	0.919	0.957	3	0.0		
org.jfree.chart.axis.AxisCollection	AxisCollection	low	low	low	low	3	8	2	1	0	10	36	31	4	0	6	0	0	0.6	0.556	0.4	0	0.0		
org.jfree.chart.axis.AxisLabelLocation	AxisLabelLocation	low-medium	low	low	low	0	0	0	2	0	0	4	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.axis.AxisLocation	AxisLocation	low-medium	low	low	low	1	3	2	2	0	6	20	15	0	4	1	1	0	0.0	0.25	1.0	0	0.0		
org.jfree.chart.axis.AxisSpace	AxisSpace	low-medium	low	low-medium	medium-high	2	31	12	1	0	43	137	131	4	1	19	0	0	0.494	0.711	0.246	0	0.0		
org.jfree.chart.axis.AxisState	AxisState	low	low	low	low	2	14	5	1	0	17	46	42	3	0	13	0	0	0.7	0.558	0.679	0	0.0		
org.jfree.chart.axis.CategoryAnchor	CategoryAnchor	low-medium	low	low	low	0	0	0	2	0	0	4	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
org.jfree.chart.axis.CategoryAxis	CategoryAxis	very-high	high	very-high	high	26	317	122	2	2	143	561	546	11	3	53	0	0	0.901	0.892	0.894	6	0.0		
org.jfree.chart.axis.CategoryLabelPosition	CategoryLabelPosition	low	low	low-medium	medium-high	5	15	3	1	0	20	72	64	6	1	12	0	0	0.75	0.74	0.727	0	0.0		
org.jfree.chart.axis.CategoryLabelPositions	CategoryLabelPositions	low-medium	low-medium	low-medium	low-medium	7	16	4	1	0	21	188	127	4	6	5	6	0	0.75	0.636	0.818	0	0.0		
