QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	#(C&I)	#C	#I	LOC	AC	EC	Abs	Ins	ND	WMC	Coverage	
jfreechart-master
<Package>org.jfree.chart	org.jfree.chart	medium-high	low	medium-high	low	13	9	4	2441	64	5	0.462	0.072	0.466	576		
<Package>org.jfree.chart.annotations	org.jfree.chart.annotations	low-medium	medium-high	medium-high	low	20	16	4	1929	6	20	0.3	0.769	0.069	457		
<Package>org.jfree.chart.api	org.jfree.chart.api	low	low	medium-high	low	14	13	1	418	215	3	0.071	0.014	0.915	105		
<Package>org.jfree.chart.axis	org.jfree.chart.axis	high	high	very-high	low	46	44	2	7056	91	32	0.152	0.26	0.588	1828		
<Package>org.jfree.chart.block	org.jfree.chart.block	low-medium	medium-high	medium-high	low	22	17	5	1723	19	18	0.227	0.486	0.287	485		
<Package>org.jfree.chart.date	org.jfree.chart.date	low	low	low-medium	low	3	2	1	425	4	0	0.667	0.0	0.333	157		
<Package>org.jfree.chart.encoders	org.jfree.chart.encoders	low	low	low-medium	low	6	4	2	151	1	2	0.333	0.667	0.0	38		
<Package>org.jfree.chart.entity	org.jfree.chart.entity	low-medium	medium-high	medium-high	low	16	15	1	673	64	13	0.063	0.169	0.768	214		
<Package>org.jfree.chart.event	org.jfree.chart.event	low	low-medium	medium-high	low	18	10	8	118	36	7	0.444	0.163	0.393	36		
<Package>org.jfree.chart.imagemap	org.jfree.chart.imagemap	low	low	low-medium	low	7	5	2	131	2	1	0.286	0.333	0.381	35		
<Package>org.jfree.chart.internal	org.jfree.chart.internal	low-medium	low	low-medium	low	8	8	0	898	264	2	0.0	0.008	0.992	257		
<Package>org.jfree.chart.labels	org.jfree.chart.labels	low-medium	high	high	low	38	27	11	1503	46	37	0.316	0.446	0.238	402		
<Package>org.jfree.chart.legend	org.jfree.chart.legend	low-medium	low-medium	low-medium	low	8	7	1	1191	38	6	0.125	0.136	0.739	325		
<Package>org.jfree.chart.plot	org.jfree.chart.plot	very-high	high	very-high	low	36	32	4	9460	107	24	0.167	0.183	0.65	2922		
<Package>org.jfree.chart.plot.compass	org.jfree.chart.plot.compass	low-medium	low	medium-high	low	11	11	0	833	0	3	0.091	1.0	0.091	230		
<Package>org.jfree.chart.plot.dial	org.jfree.chart.plot.dial	low-medium	medium-high	medium-high	low	18	14	4	1766	0	12	0.333	1.0	0.333	464		
<Package>org.jfree.chart.plot.flow	org.jfree.chart.plot.flow	low	low	low-medium	low	1	1	0	331	0	1	0.0	1.0	0.0	88		
<Package>org.jfree.chart.plot.pie	org.jfree.chart.plot.pie	low-medium	low	medium-high	low	7	7	0	1699	4	5	0.143	0.556	0.301	447		
<Package>org.jfree.chart.renderer	org.jfree.chart.renderer	medium-high	low-medium	medium-high	low	15	13	2	1862	56	8	0.2	0.125	0.675	609		
<Package>org.jfree.chart.renderer.category	org.jfree.chart.renderer.category	high	high	high	low	25	23	2	4906	4	23	0.12	0.852	0.028	1328		
<Package>org.jfree.chart.renderer.xy	org.jfree.chart.renderer.xy	high	high	very-high	low	45	43	2	7141	6	34	0.067	0.85	0.083	1908		
<Package>org.jfree.chart.swing	org.jfree.chart.swing	medium-high	low-medium	medium-high	low	16	12	4	1918	0	8	0.25	1.0	0.25	506		
<Package>org.jfree.chart.swing.editor	org.jfree.chart.swing.editor	low-medium	medium-high	medium-high	low	18	16	2	1360	1	12	0.111	0.923	0.034	277		
<Package>org.jfree.chart.text	org.jfree.chart.text	low-medium	low	low-medium	low	10	9	1	818	54	5	0.1	0.085	0.815	240		
<Package>org.jfree.chart.text.format	org.jfree.chart.text.format	low	low	low-medium	low	4	4	0	298	0	2	0.0	1.0	0.0	81		
