QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
jsoup-master
<Package>org.jsoup	org.jsoup	low	low	medium-high	low						133	202													
org.jsoup.Connection	Connection	low-medium	low	medium-high	high	2	37	0	1	1	37	112	37	0	0	37	0	0	0.0	0.874	0.0	0	0.0		
org.jsoup.HttpStatusException	HttpStatusException	medium-high	low	low	low	0	3	0	4	0	3	11	8	2	0	3	0	0	0.5	0.444	0.333	0	0.0		
org.jsoup.Jsoup	Jsoup	very-high	low-medium	low	medium-high	9	376	19	1	0	20	49	48	0	0	1	19	0	0.0	0.706	0.0	0	0.0		
org.jsoup.SerializationException	SerializationException	medium-high	low	low	low	0	4	0	4	0	4	9	8	0	0	4	0	0	0.0	0.333	0.0	0	0.0		
org.jsoup.UncheckedIOException	UncheckedIOException	medium-high	low	low	low	0	4	1	4	0	3	7	6	0	0	3	0	0	0.0	0.444	0.0	0	0.0		
org.jsoup.UnsupportedMimeTypeException	UnsupportedMimeTypeException	medium-high	low	low	low	0	5	1	4	0	4	14	11	2	0	4	0	0	0.333	0.375	0.167	0	0.0		
<Package>org.jsoup.examples	org.jsoup.examples	low	low	low	low						34	105													
org.jsoup.examples.HtmlToPlainText	HtmlToPlainText	medium-high	low-medium	low-medium	low	7	124	10	1	0	5	66	18	0	2	1	1	0	0.0	0.333	1.0	0	0.0		
org.jsoup.examples.ListLinks	ListLinks	high	low-medium	low	low	6	151	16	1	0	8	30	29	0	0	0	3	0	0.0	0.333	0.0	0	0.0		
org.jsoup.examples.Wikipedia	Wikipedia	very-high	low	low	low	5	203	9	1	0	3	9	8	0	0	0	2	0	0.0	0.0	0.0	0	0.0		
<Package>org.jsoup.helper	org.jsoup.helper	low-medium	low	medium-high	low						458	1433													
org.jsoup.helper.ChangeNotifyingArrayList<E>	ChangeNotifyingArrayList	medium-high	low	low	low	0	24	12	4	1	13	48	47	0	0	13	0	0	0.0	0.585	0.0	0	0.0		
org.jsoup.helper.Consumer<T>	Consumer	low	low	low	low	0	1	0	1	0	1	5	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.helper.CookieUtil	CookieUtil	low	low	low	low	4	39	19	1	0	14	41	36	0	4	0	4	0	0.0	0.542	0.0	0	0.0		
org.jsoup.helper.DataUtil	DataUtil	very-high	medium-high	low-medium	low-medium	13	315	66	1	0	68	157	141	0	7	1	12	0	0.929	0.683	1.0	0	0.0		
org.jsoup.helper.HttpConnection	HttpConnection	very-high	low-medium	medium-high	high	7	251	41	1	0	55	870	196	2	9	40	4	0	0.921	0.888	0.228	0	0.0		
org.jsoup.helper.UrlBuilder	UrlBuilder	low	low	low-medium	low-medium	4	39	26	1	0	17	55	52	2	0	3	2	0	0.25	0.633	0.0	0	0.0		
org.jsoup.helper.Validate	Validate	low-medium	low	low-medium	low	1	21	4	1	0	36	55	54	0	0	1	18	0	0.0	0.421	0.0	0	0.0		
org.jsoup.helper.ValidationException	ValidationException	medium-high	low	low	low	0	9	7	5	0	4	14	12	0	1	2	0	0	0.0	0.25	1.0	0	0.0		
org.jsoup.helper.W3CDom	W3CDom	medium-high	medium-high	low-medium	medium-high	13	118	58	1	0	38	188	110	2	4	12	6	0	0.905	0.789	0.95	0	0.0		
<Package>org.jsoup.internal	org.jsoup.internal	low	low	low-medium	low						89	254													
org.jsoup.internal.ConstrainableInputStream	ConstrainableInputStream	medium-high	low	low-medium	low	1	17	12	4	0	24	68	60	6	1	6	1	0	0.8	0.571	0.9	0	0.0		
org.jsoup.internal.FieldsAreNonnullByDefault	FieldsAreNonnullByDefault	low	low	low	low	0	0	0	1	0	0	5	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.internal.NonnullByDefault	NonnullByDefault	low	low	low	low	0	0	0	1	0	0	5	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.internal.Normalizer	Normalizer	low	low	low	low	0	5	4	1	0	5	7	6	0	0	0	3	0	0.0	0.222	0.0	0	0.0		
org.jsoup.internal.ReturnsAreNonnullByDefault	ReturnsAreNonnullByDefault	low	low	low	low	0	0	0	1	0	0	5	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.internal.StringUtil	StringUtil	medium-high	low	low-medium	medium-high	1	64	52	1	0	55	164	129	0	7	0	21	0	0.943	0.726	0.995	0	0.0		
<Package>org.jsoup.nodes	org.jsoup.nodes	medium-high	medium-high	medium-high	low						877	2369													
org.jsoup.nodes.Attribute	Attribute	medium-high	low-medium	low-medium	medium-high	9	138	35	1	0	44	112	98	3	5	15	7	0	0.823	0.714	0.771	0	0.0		
org.jsoup.nodes.Attributes	Attributes	medium-high	low-medium	medium-high	high	8	102	43	1	0	87	276	230	3	6	35	3	0	0.789	0.816	0.69	1	0.0		
org.jsoup.nodes.CDataNode	CDataNode	medium-high	low	low	low	1	72	3	4	0	6	20	19	0	0	6	0	4	0.0	0.567	0.0	0	2.667		
org.jsoup.nodes.Comment	Comment	high	medium-high	low	low-medium	11	197	31	3	0	18	44	43	0	0	10	1	0	0.0	0.636	0.0	1	0.0		
org.jsoup.nodes.DataNode	DataNode	medium-high	low	low	low	2	112	6	3	0	8	21	20	0	0	8	0	0	0.0	0.6	0.0	0	0.0		
org.jsoup.nodes.Document	Document	very-high	medium-high	medium-high	high	16	285	59	3	0	65	259	179	6	1	32	1	4	0.905	0.838	0.936	0	0.375		
org.jsoup.nodes.DocumentType	DocumentType	low-medium	low	low-medium	low-medium	4	70	10	3	0	22	53	46	0	6	10	0	0	0.722	0.62	0.8	1	0.0		
org.jsoup.nodes.Element	Element	very-high	very-high	very-high	very-high	43	497	163	2	3	256	692	676	4	3	131	5	4	0.871	0.924	0.989	1	0.061		
org.jsoup.nodes.Entities	Entities	medium-high	low-medium	low-medium	medium-high	7	113	34	1	0	52	198	162	0	6	1	12	0	0.806	0.715	0.714	0	0.0		
org.jsoup.nodes.EntitiesData	EntitiesData	low	low	low	low	0	0	0	1	0	0	8	0	0	3	0	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.nodes.FormElement	FormElement	high	low-medium	low-medium	medium-high	10	199	27	3	0	23	52	50	1	0	7	0	0	0.0	0.714	0.8	1	0.0		
org.jsoup.nodes.LeafNode	LeafNode	low-medium	low	low-medium	low	1	91	17	2	5	24	64	62	1	0	16	0	0	0.0	0.5	0.917	0	0.0		
org.jsoup.nodes.Node	Node	very-high	medium-high	very-high	high	15	202	89	1	2	141	364	341	2	2	72	1	1	0.69	0.874	0.918	0	0.014		
org.jsoup.nodes.NodeUtils	NodeUtils	low-medium	medium-high	low	low	11	97	10	1	0	6	16	15	0	0	0	3	0	0.0	0.467	0.0	0	0.0		
org.jsoup.nodes.PseudoTextElement	PseudoTextElement	low-medium	low	low	low	3	3	0	3	0	3	7	6	0	0	3	0	2	0.0	0.429	0.0	0	2.0		
org.jsoup.nodes.Range	Range	low-medium	low	low-medium	low-medium	3	54	8	1	0	16	69	32	2	4	8	1	0	0.792	0.667	0.5	0	0.0		
org.jsoup.nodes.TextNode	TextNode	very-high	low-medium	low-medium	low-medium	7	249	35	3	1	29	68	67	0	0	11	4	0	0.0	0.689	0.0	2	0.0		
org.jsoup.nodes.XmlDeclaration	XmlDeclaration	medium-high	low-medium	low	low-medium	7	128	17	3	0	15	46	44	1	0	9	0	0	0.0	0.648	1.0	1	0.0		
<Package>org.jsoup.parser	org.jsoup.parser	medium-high	medium-high	high	low						868	5303													
org.jsoup.parser.CharacterReader	CharacterReader	very-high	low	very-high	medium-high	3	79	44	1	0	185	447	427	13	6	52	2	0	0.868	0.775	0.676	0	0.0		
org.jsoup.parser.HtmlTreeBuilder	HtmlTreeBuilder	very-high	high	very-high	high	26	287	103	2	0	228	589	556	14	11	92	1	1	0.972	0.88	0.0	5	0.022		
org.jsoup.parser.HtmlTreeBuilderState	HtmlTreeBuilderState	medium-high	low-medium	very-high	low	8	129	8	2	0	5	1509	16	0	25	1	3	0	1.92	0.312	0.0	2	0.0		
org.jsoup.parser.ParseError	ParseError	low	low	low	low	1	21	4	1	0	8	29	25	3	0	8	0	0	0.333	0.55	0.667	0	0.0		
org.jsoup.parser.ParseErrorList	ParseErrorList	medium-high	low	low	low	0	9	2	4	0	7	21	17	2	1	5	2	0	0.667	0.524	1.0	0	0.0		
org.jsoup.parser.ParseSettings	ParseSettings	low	low	low	low-medium	2	12	3	1	0	12	33	25	2	2	7	1	0	0.792	0.65	0.4	0	0.0		
org.jsoup.parser.Parser	Parser	high	low-medium	low-medium	high	10	198	18	1	0	27	78	73	4	0	16	8	0	0.714	0.808	0.885	1	0.0		
org.jsoup.parser.Tag	Tag	low-medium	low	low-medium	medium-high	3	35	13	1	0	42	157	82	9	8	17	4	0	0.928	0.733	0.728	0	0.0		
org.jsoup.parser.Token	Token	low-medium	low	low-medium	low-medium	0	24	4	1	5	21	299	42	3	1	19	1	0	0.775	0.617	0.0	0	0.0		
org.jsoup.parser.TokenQueue	TokenQueue	medium-high	low	low-medium	low	2	54	31	1	0	79	185	179	2	3	27	2	0	0.678	0.471	0.529	0	0.0		
org.jsoup.parser.Tokeniser	Tokeniser	medium-high	medium-high	low-medium	high	15	128	60	1	0	82	228	196	20	5	30	0	0	0.928	0.858	0.0	0	0.0		
org.jsoup.parser.TokeniserState	TokeniserState	medium-high	low	very-high	low	4	112	26	2	0	31	1525	89	0	73	1	5	0	1.918	0.083	0.0	0	0.0		
org.jsoup.parser.TreeBuilder	TreeBuilder	low-medium	medium-high	low-medium	medium-high	19	84	35	1	2	31	104	91	12	0	19	0	0	0.85	0.775	0.0	1	0.0		
org.jsoup.parser.XmlTreeBuilder	XmlTreeBuilder	very-high	high	low-medium	high	24	205	51	2	0	34	99	97	0	1	15	0	0	0.0	0.806	0.0	3	0.0		
<Package>org.jsoup.safety	org.jsoup.safety	low	low	low-medium	low						99	377													
org.jsoup.safety.Cleaner	Cleaner	high	medium-high	low-medium	low	12	197	27	1	0	10	84	45	1	0	6	0	0	0.0	0.6	1.0	1	0.0		
org.jsoup.safety.Safelist	Safelist	medium-high	low	low-medium	medium-high	5	87	47	1	0	60	293	243	5	1	16	5	0	0.667	0.728	0.692	1	0.0		
