QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
kafka
<Package>$	$	low	low	low	low						0	79													
$.LineSplit	LineSplit	low	low	low	low	0	0	0	0	0	0	26	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
$.Pipe	Pipe	low	low	low	low	0	0	0	0	0	0	24	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
$.WordCount	WordCount	low	low	low	low	0	0	0	0	0	0	29	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>kafka.examples	kafka.examples	low	low	low-medium	low						0	320													
kafka.examples.Consumer	Consumer	low	low	low-medium	low	0	0	0	0	0	0	60	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.examples.DemoCallBack	DemoCallBack	low	low	low	low	0	0	0	0	0	0	17	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.examples.ExactlyOnceMessageProcessor	ExactlyOnceMessageProcessor	low	low	low-medium	low	0	0	0	0	0	0	89	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.examples.KafkaConsumerProducerDemo	KafkaConsumerProducerDemo	low	low	low	low	0	0	0	0	0	0	12	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.examples.KafkaExactlyOnceDemo	KafkaExactlyOnceDemo	low	low	low-medium	low	0	0	0	0	0	0	74	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.examples.KafkaProperties	KafkaProperties	low	low	low	low	0	0	0	0	0	0	5	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.examples.Producer	Producer	low	low	low-medium	low	0	0	0	0	0	0	63	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>kafka.server	kafka.server	low	low	low	low						2	111													
kafka.server.ReplicaAlterLogDirsTierStateMachine	ReplicaAlterLogDirsTierStateMachine	low	low	low	low	0	0	0	0	0	0	8	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.server.ReplicaFetcherTierStateMachine	ReplicaFetcherTierStateMachine	low	low	low-medium	low	0	0	0	0	0	0	97	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.server.TierStateMachine	TierStateMachine	low	low	low	low	0	0	0	1	0	2	6	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>kafka.server.builders	kafka.server.builders	low	low	low-medium	low						0	311													
kafka.server.builders.KafkaApisBuilder	KafkaApisBuilder	low	low	low-medium	low	0	0	0	0	0	0	112	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.server.builders.LogManagerBuilder	LogManagerBuilder	low	low	low-medium	low	0	0	0	0	0	0	101	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
kafka.server.builders.ReplicaManagerBuilder	ReplicaManagerBuilder	low	low	low-medium	low	0	0	0	0	0	0	98	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>kafka.tools	kafka.tools	low	low	low-medium	low						0	450													
kafka.tools.StreamsResetter	StreamsResetter	low	low	medium-high	low	0	0	0	0	0	0	450	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.apache.kafka.clients	org.apache.kafka.clients	low	low	high	low						30	2369													
org.apache.kafka.clients.ApiVersions	ApiVersions	low	low	low	low	0	0	0	0	0	0	20	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ClientDnsLookup	ClientDnsLookup	low	low	low	low	0	0	0	0	0	0	11	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ClientRequest	ClientRequest	low	low	low-medium	low	0	0	0	0	0	0	60	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ClientResponse	ClientResponse	low	low	low-medium	low	0	0	0	0	0	0	61	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ClientUtils	ClientUtils	low	low	low-medium	low	0	0	0	0	0	0	56	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ClusterConnectionStates	ClusterConnectionStates	low	low	low-medium	low	0	0	0	0	0	0	218	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.CommonClientConfigs	CommonClientConfigs	low	low	low-medium	low	0	0	0	0	0	0	150	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ConnectionState	ConnectionState	low	low	low	low	0	0	0	0	0	0	6	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.DefaultHostResolver	DefaultHostResolver	low	low	low	low	0	0	0	0	0	0	4	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.FetchSessionHandler	FetchSessionHandler	low	low	medium-high	low	0	0	0	0	0	0	309	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.GroupRebalanceConfig	GroupRebalanceConfig	low	low	low	low	0	0	0	0	0	0	50	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.HostResolver	HostResolver	low	low	low	low	0	0	0	1	0	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.InFlightRequests	InFlightRequests	low	low	low-medium	low	0	0	0	0	0	0	67	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.KafkaClient	KafkaClient	low-medium	low	low	low	0	0	0	1	0	21	28	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.ManualMetadataUpdater	ManualMetadataUpdater	low	low	low	low	0	0	0	0	0	0	25	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.Metadata	Metadata	low	low	low-medium	low	0	0	0	0	0	0	299	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.MetadataCache	MetadataCache	low	low	low-medium	low	0	0	0	0	0	0	117	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.MetadataUpdater	MetadataUpdater	low	low	low	low	0	0	0	1	0	7	9	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.NetworkClient	NetworkClient	low	low	medium-high	low	0	0	0	0	0	0	728	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.NetworkClientUtils	NetworkClientUtils	low	low	low	low	0	0	0	0	0	0	39	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.NodeApiVersions	NodeApiVersions	low	low	low-medium	low	0	0	0	0	0	0	103	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.RequestCompletionHandler	RequestCompletionHandler	low	low	low	low	0	0	0	1	0	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.StaleMetadataException	StaleMetadataException	low	low	low	low	0	0	0	0	0	0	5	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.apache.kafka.clients.admin	org.apache.kafka.clients.admin	low	low	very-high	low						102	5955													
org.apache.kafka.clients.admin.AbortTransactionOptions	AbortTransactionOptions	low	low	low	low	0	0	0	0	0	0	7	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AbortTransactionResult	AbortTransactionResult	low	low	low	low	0	0	0	0	0	0	7	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AbortTransactionSpec	AbortTransactionSpec	low	low	low	low	0	0	0	0	0	0	44	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AbstractOptions<T>	AbstractOptions	low	low	low	low	0	0	0	0	0	0	8	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.Admin	Admin	medium-high	low	low-medium	low	0	0	0	1	0	101	184	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AdminClient	AdminClient	low	low	low	low	0	0	0	0	0	0	5	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AdminClientConfig	AdminClientConfig	low	low	low-medium	low	0	0	0	0	0	0	159	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AlterClientQuotasOptions	AlterClientQuotasOptions	low	low	low	low	0	0	0	0	0	0	8	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AlterClientQuotasResult	AlterClientQuotasResult	low	low	low	low	0	0	0	0	0	0	9	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AlterConfigOp	AlterConfigOp	low	low	low	low	0	0	0	0	0	0	42	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.kafka.clients.admin.AlterConfigsOptions	AlterConfigsOptions	low	low	low	low	0	0	0	0	0	0	11	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
