QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
weka
<Package>weka	weka	low	low	low	low						74	204													
weka.Run	Run	very-high	medium-high	low-medium	low	13	1190	35	1	0	72	204	192	0	0	0	3	0	0.0	0.25	0.0	0	0.0		
<Package>weka.associations	weka.associations	high	medium-high	medium-high	low						1061	3917													
weka.associations.AbstractAssociator	AbstractAssociator	very-high	low-medium	low-medium	medium-high	6	214	22	1	3	25	76	71	1	1	11	4	0	1.0	0.722	0.99	0	0.0		
weka.associations.Apriori	Apriori	very-high	high	very-high	high	23	514	99	2	0	194	835	804	21	6	65	1	1	0.893	0.818	0.899	0	0.031		
weka.associations.AprioriItemSet	AprioriItemSet	medium-high	low	medium-high	low-medium	5	69	26	2	0	61	316	313	0	1	10	3	1	0.0	0.604	0.0	0	0.2		
weka.associations.AssociationRule	AssociationRule	low-medium	low	low	medium-high	1	19	7	1	1	24	43	42	0	0	15	0	0	0.0	0.778	0.0	0	0.0		
weka.associations.AssociationRules	AssociationRules	low	low	low	low	2	25	8	1	1	10	28	24	2	1	8	0	0	0.667	0.531	0.464	0	0.0		
weka.associations.AssociationRulesProducer	AssociationRulesProducer	low	low	low	low	1	3	0	1	3	3	4	3	0	0	3	0	0	0.0	0.0	0.0	0	0.0		
weka.associations.Associator	Associator	low	low	low	low	2	2	0	1	1	2	3	2	0	0	2	0	0	0.0	0.25	0.0	0	0.0		
weka.associations.AssociatorEvaluation	AssociatorEvaluation	low-medium	low-medium	low-medium	low-medium	8	83	38	1	0	26	113	111	1	0	7	4	0	0.0	0.636	0.867	0	0.0		
weka.associations.BinaryItem	BinaryItem	low-medium	low	low	low	1	25	8	3	0	9	19	16	0	1	3	0	0	0.0	0.5	0.0	1	0.0		
weka.associations.CARuleMiner	CARuleMiner	low	low	low	low	1	5	0	1	1	5	6	5	0	0	5	0	0	0.0	0.533	0.0	0	0.0		
weka.associations.CheckAssociator	CheckAssociator	very-high	medium-high	medium-high	low-medium	13	225	90	3	0	142	610	607	1	1	26	1	0	0.7	0.623	0.786	1	0.0		
weka.associations.DefaultAssociationRule	DefaultAssociationRule	low-medium	low	low-medium	medium-high	1	26	9	2	0	21	131	64	7	2	14	0	0	0.769	0.743	0.615	0	0.0		
weka.associations.FPGrowth	FPGrowth	very-high	medium-high	very-high	high	20	444	145	2	0	206	913	687	16	1	62	6	1	0.914	0.884	0.962	0	0.032		
weka.associations.FilteredAssociationRules	FilteredAssociationRules	low-medium	low	low	low-medium	1	12	3	2	0	8	26	22	2	1	8	0	3	0.619	0.625	0.0	0	0.75		
weka.associations.FilteredAssociator	FilteredAssociator	very-high	medium-high	low-medium	medium-high	16	353	49	3	0	36	150	144	3	1	20	1	2	0.833	0.752	0.854	0	0.3		
weka.associations.Item	Item	low	low	low	medium-high	1	34	8	1	2	19	43	39	2	1	14	0	0	0.633	0.762	0.56	0	0.0		
weka.associations.ItemSet	ItemSet	medium-high	low	low-medium	medium-high	5	76	36	1	2	95	242	236	4	1	21	8	0	0.783	0.774	0.559	0	0.0		
weka.associations.LabeledItemSet	LabeledItemSet	medium-high	low	low-medium	medium-high	5	64	33	2	0	63	194	189	2	1	8	8	2	0.667	0.736	0.633	0	0.5		
weka.associations.NominalItem	NominalItem	low-medium	low	low	low-medium	1	38	7	2	1	12	31	28	1	1	6	0	0	0.625	0.667	0.333	0	0.0		
weka.associations.NumericItem	NumericItem	low-medium	low	low-medium	medium-high	2	32	10	2	0	19	66	60	2	1	7	0	0	0.611	0.714	0.19	0	0.0		
weka.associations.SingleAssociatorEnhancer	SingleAssociatorEnhancer	high	low	low-medium	low	5	155	25	2	1	15	68	64	1	1	9	0	1	0.75	0.593	0.857	0	0.222		
<Package>weka.attributeSelection	weka.attributeSelection	high	high	high	low						1681	6166													
weka.attributeSelection.ASEvaluation	ASEvaluation	very-high	low-medium	low-medium	medium-high	7	341	27	1	14	26	87	83	1	1	14	3	0	1.0	0.765	0.993	0	0.0		
weka.attributeSelection.ASSearch	ASSearch	medium-high	low-medium	low	low-medium	6	149	12	1	3	10	34	31	0	1	5	2	0	0.0	0.69	0.0	0	0.0		
weka.attributeSelection.AttributeEvaluator	AttributeEvaluator	low	low	low	low	0	1	0	1	8	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.attributeSelection.AttributeSelection	AttributeSelection	very-high	medium-high	medium-high	medium-high	16	331	92	1	0	142	499	482	15	1	20	4	0	0.882	0.755	0.853	0	0.0		
