QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	#(C&I)	#C	#I	LOC	AC	EC	Abs	Ins	ND	WMC	Coverage	
weka
<Package>weka	weka	low	low	low	low	2	2	0	204	1	1	0.0	0.5	0.5	74		
<Package>weka.associations	weka.associations	high	medium-high	medium-high	low	29	26	3	3917	8	19	0.276	0.704	0.02	1061		
<Package>weka.attributeSelection	weka.attributeSelection	high	high	high	low	31	25	6	6166	8	21	0.387	0.724	0.111	1681		
<Package>weka.classifiers	weka.classifiers	medium-high	high	medium-high	low	27	20	7	3186	114	24	0.704	0.174	0.122	877		
<Package>weka.classifiers.bayes	weka.classifiers.bayes	low-medium	low-medium	medium-high	low	7	7	0	1640	37	6	0.0	0.14	0.86	448		
<Package>weka.classifiers.bayes.net	weka.classifiers.bayes.net	high	low-medium	very-high	low	78	78	0	5384	26	8	0.0	0.235	0.765	1281		
<Package>weka.classifiers.bayes.net.estimate	weka.classifiers.bayes.net.estimate	low	low-medium	low-medium	low	6	6	0	543	4	6	0.0	0.6	0.4	136		
<Package>weka.classifiers.bayes.net.search	weka.classifiers.bayes.net.search	low	low	low	low	1	1	0	168	11	1	0.0	0.083	0.917	64		
<Package>weka.classifiers.bayes.net.search.ci	weka.classifiers.bayes.net.search.ci	low	low	low-medium	low	3	3	0	267	0	2	0.0	1.0	0.0	151		
<Package>weka.classifiers.bayes.net.search.fixed	weka.classifiers.bayes.net.search.fixed	low	low	low	low	2	2	0	65	0	2	0.0	1.0	0.0	18		
<Package>weka.classifiers.bayes.net.search.global	weka.classifiers.bayes.net.search.global	low-medium	low-medium	low-medium	low	10	10	0	1250	0	8	0.0	1.0	0.0	342		
<Package>weka.classifiers.bayes.net.search.local	weka.classifiers.bayes.net.search.local	low-medium	low-medium	medium-high	low	13	12	1	1626	5	9	0.077	0.643	0.28	458		
<Package>weka.classifiers.evaluation	weka.classifiers.evaluation	high	medium-high	medium-high	low	20	14	6	3265	19	16	0.35	0.457	0.193	1091		
<Package>weka.classifiers.evaluation.output.prediction	weka.classifiers.evaluation.output.prediction	low-medium	low-medium	low-medium	low	8	8	0	887	2	7	0.125	0.778	0.097	261		
<Package>weka.classifiers.functions	weka.classifiers.functions	high	medium-high	high	low	19	19	0	5671	4	11	0.0	0.733	0.267	1440		
<Package>weka.classifiers.functions.neural	weka.classifiers.functions.neural	low	low	low-medium	low	5	4	1	448	1	4	0.4	0.8	0.2	164		
<Package>weka.classifiers.functions.supportVector	weka.classifiers.functions.supportVector	medium-high	medium-high	medium-high	low	14	14	0	2782	4	14	0.143	0.778	0.079	803		
<Package>weka.classifiers.lazy	weka.classifiers.lazy	low-medium	low	low-medium	low	3	3	0	975	2	3	0.0	0.6	0.4	264		
<Package>weka.classifiers.lazy.kstar	weka.classifiers.lazy.kstar	low	low	low-medium	low	7	6	1	748	1	4	0.143	0.8	0.057	177		
<Package>weka.classifiers.meta	weka.classifiers.meta	high	medium-high	high	low	25	25	0	5343	2	20	0.0	0.909	0.091	1516		
<Package>weka.classifiers.misc	weka.classifiers.misc	low	low	low-medium	low	3	3	0	489	12	2	0.0	0.143	0.857	143		
<Package>weka.classifiers.pmml.consumer	weka.classifiers.pmml.consumer	medium-high	low-medium	very-high	low	57	57	0	3391	1	7	0.018	0.875	0.107	987		
<Package>weka.classifiers.pmml.producer	weka.classifiers.pmml.producer	low	low	low	low	2	2	0	135	1	2	0.5	0.667	0.167	27		
<Package>weka.classifiers.rules	weka.classifiers.rules	medium-high	low-medium	medium-high	low	15	15	0	2771	21	9	0.133	0.3	0.567	726		
<Package>weka.classifiers.rules.part	weka.classifiers.rules.part	low	low	low-medium	low	4	4	0	498	1	4	0.0	0.8	0.2	135		
<Package>weka.classifiers.trees	weka.classifiers.trees	medium-high	low-medium	medium-high	low	10	10	0	3543	11	8	0.0	0.421	0.579	889		
<Package>weka.classifiers.trees.ht	weka.classifiers.trees.ht	low	medium-high	medium-high	low	21	20	1	657	1	13	0.238	0.929	0.167	192		
<Package>weka.classifiers.trees.j48	weka.classifiers.trees.j48	medium-high	high	medium-high	low	21	21	0	2208	10	21	0.19	0.677	0.133	615		
<Package>weka.classifiers.trees.lmt	weka.classifiers.trees.lmt	low-medium	low	low-medium	low	7	7	0	1085	2	5	0.0	0.714	0.286	294		
<Package>weka.classifiers.trees.m5	weka.classifiers.trees.m5	low-medium	low-medium	low-medium	low	10	9	1	1468	2	10	0.2	0.833	0.033	361		
<Package>weka.classifiers.xml	weka.classifiers.xml	low	low	low	low	1	1	0	10	2	1	0.0	0.333	0.667	3		
<Package>weka.clusterers	weka.clusterers	high	medium-high	high	low	28	24	4	6015	17	19	0.357	0.528	0.115	1588		
<Package>weka.core	weka.core	very-high	high	very-high	low	140	113	27	19272	857	21	0.243	0.024	0.733	5405		
<Package>weka.core.converters	weka.core.converters	high	high	very-high	low	42	35	7	6729	48	32	0.262	0.4	0.338	1908		
<Package>weka.core.expressionlanguage.common	weka.core.expressionlanguage.common	low-medium	low-medium	very-high	low	62	59	3	799	8	10	0.048	0.556	0.396	274		
<Package>weka.core.expressionlanguage.core	weka.core.expressionlanguage.core	low	low	low-medium	low	6	2	4	19	19	0	0.667	0.0	0.333	8		
<Package>weka.core.expressionlanguage.parser	weka.core.expressionlanguage.parser	low	low	low-medium	low	4	3	1	922	5	2	0.25	0.286	0.464	191		
<Package>weka.core.expressionlanguage.weka	weka.core.expressionlanguage.weka	low	low	medium-high	low	13	13	0	169	4	2	0.0	0.333	0.667	51		
<Package>weka.core.json	weka.core.json	low-medium	low	low-medium	low	7	6	1	1281	3	1	0.143	0.25	0.607	314		
<Package>weka.core.logging	weka.core.logging	low	low	low-medium	low	6	6	0	226	25	4	0.167	0.138	0.695	56		
<Package>weka.core.matrix	weka.core.matrix	medium-high	medium-high	medium-high	low	13	13	0	2587	9	13	0.0	0.591	0.409	889		
<Package>weka.core.metastore	weka.core.metastore	low	low	low	low	2	1	1	163	2	1	0.5	0.333	0.167	40		
<Package>weka.core.neighboursearch	weka.core.neighboursearch	medium-high	low-medium	medium-high	low	17	17	0	2369	7	8	0.059	0.533	0.408	671		
<Package>weka.core.neighboursearch.balltrees	weka.core.neighboursearch.balltrees	low-medium	low-medium	medium-high	low	13	13	0	1329	1	9	0.154	0.9	0.054	328		
<Package>weka.core.neighboursearch.covertrees	weka.core.neighboursearch.covertrees	low	low	low	low	1	1	0	40	1	1	0.0	0.5	0.5	13		
<Package>weka.core.neighboursearch.kdtrees	weka.core.neighboursearch.kdtrees	low	low-medium	low-medium	low	6	6	0	474	1	6	0.167	0.857	0.024	123		
<Package>weka.core.packageManagement	weka.core.packageManagement	medium-high	low	medium-high	low	10	10	0	1983	4	2	0.4	0.333	0.267	511		
<Package>weka.core.pmml	weka.core.pmml	medium-high	high	very-high	low	43	41	2	2573	10	26	0.116	0.722	0.162	827		
<Package>weka.core.pmml.jaxbbindings	weka.core.pmml.jaxbbindings	very-high	low	very-high	low	254	254	0	9945	2	1	0.0	0.333	0.667	2690		
<Package>weka.core.scripting	weka.core.scripting	low	low	low	low	4	2	2	217	5	2	0.5	0.286	0.214	44		
<Package>weka.core.stemmers	weka.core.stemmers	low-medium	low-medium	low-medium	low	6	5	1	977	6	6	0.167	0.5	0.333	280		
<Package>weka.core.stopwords	weka.core.stopwords	low	low	low-medium	low	8	7	1	782	6	3	0.375	0.333	0.292	68		
<Package>weka.core.tokenizers	weka.core.tokenizers	low	low-medium	low-medium	low	6	6	0	334	6	6	0.333	0.5	0.167	105		
<Package>weka.core.xml	weka.core.xml	medium-high	medium-high	medium-high	low	11	11	0	2424	14	11	0.0	0.44	0.56	549		
<Package>weka.datagenerators	weka.datagenerators	low	low	low-medium	low	5	5	0	417	14	5	1.0	0.263	0.263	123		
<Package>weka.datagenerators.classifiers.classification	weka.datagenerators.classifiers.classification	low-medium	low	low-medium	low	7	6	1	1458	1	5	0.143	0.833	0.024	294		
<Package>weka.datagenerators.classifiers.regression	weka.datagenerators.classifiers.regression	low	low	low-medium	low	2	2	0	307	0	2	0.0	1.0	0.0	66		
<Package>weka.datagenerators.clusterers	weka.datagenerators.clusterers	low-medium	low	low-medium	low	5	5	0	1143	0	3	0.0	1.0	0.0	330		
<Package>weka.estimators	weka.estimators	high	high	high	low	31	25	6	3987	16	22	0.226	0.579	0.195	1024		
<Package>weka.experiment	weka.experiment	very-high	high	very-high	low	46	39	7	9411	33	37	0.174	0.529	0.297	2441		
<Package>weka.experiment.xml	weka.experiment.xml	low	low	low	low	1	1	0	134	2	1	0.0	0.333	0.667	29		
<Package>weka.filters	weka.filters	low-medium	low-medium	medium-high	low	13	9	4	1460	148	9	0.615	0.057	0.328	358		
<Package>weka.filters.supervised.attribute	weka.filters.supervised.attribute	medium-high	low-medium	medium-high	low	8	8	0	2083	18	8	0.0	0.308	0.692	584		
<Package>weka.filters.supervised.instance	weka.filters.supervised.instance	low	low	low-medium	low	4	4	0	631	0	4	0.0	1.0	0.0	177		
<Package>weka.filters.unsupervised.attribute	weka.filters.unsupervised.attribute	very-high	high	very-high	low	64	64	0	10561	55	59	0.031	0.518	0.451	2725		
<Package>weka.filters.unsupervised.instance	weka.filters.unsupervised.instance	low-medium	medium-high	medium-high	low	13	13	0	1779	2	13	0.0	0.867	0.133	480		
<Package>weka.gui	weka.gui	very-high	high	very-high	low	140	124	16	14995	184	43	0.129	0.189	0.682	2878		
<Package>weka.gui.arffviewer	weka.gui.arffviewer	medium-high	low-medium	medium-high	low	8	8	0	2255	2	7	0.0	0.778	0.222	623		
<Package>weka.gui.beans	weka.gui.beans	very-high	high	very-high	low	215	176	39	25438	20	94	0.219	0.825	0.044	5128		
<Package>weka.gui.beans.xml	weka.gui.beans.xml	low-medium	low	low-medium	low	1	1	0	1088	3	1	0.0	0.25	0.75	204		
<Package>weka.gui.boundaryvisualizer	weka.gui.boundaryvisualizer	low-medium	low-medium	medium-high	low	10	9	1	2025	1	6	0.1	0.857	0.043	373		
<Package>weka.gui.experiment	weka.gui.experiment	medium-high	medium-high	medium-high	low	18	18	0	3900	0	15	0.056	1.0	0.056	543		
<Package>weka.gui.explorer	weka.gui.explorer	medium-high	medium-high	very-high	low	27	22	5	7633	10	12	0.222	0.545	0.233	885		
<Package>weka.gui.filters	weka.gui.filters	low	low	low	low	1	1	0	242	0	1	0.0	1.0	0.0	16		
<Package>weka.gui.graphvisualizer	weka.gui.graphvisualizer	medium-high	low	medium-high	low	17	14	3	2240	4	2	0.176	0.333	0.491	553		
<Package>weka.gui.hierarchyvisualizer	weka.gui.hierarchyvisualizer	low	low	low	low	2	2	0	247	1	1	0.0	0.5	0.5	81		
<Package>weka.gui.knowledgeflow	weka.gui.knowledgeflow	medium-high	high	high	low	37	33	4	4056	53	21	0.189	0.284	0.527	664		
<Package>weka.gui.knowledgeflow.steps	weka.gui.knowledgeflow.steps	low-medium	high	very-high	low	47	47	0	3935	0	33	0.0	1.0	0.0	437		
<Package>weka.gui.scripting	weka.gui.scripting	low-medium	low-medium	medium-high	low	27	27	0	1573	4	8	0.185	0.667	0.148	404		
<Package>weka.gui.scripting.event	weka.gui.scripting.event	low	low	low	low	5	3	2	35	3	2	0.4	0.4	0.2	10		
<Package>weka.gui.simplecli	weka.gui.simplecli	low	low-medium	medium-high	low	12	12	0	346	1	10	0.083	0.909	0.008	107		
<Package>weka.gui.sql	weka.gui.sql	low-medium	low-medium	medium-high	low	12	12	0	1485	4	8	0.0	0.667	0.333	329		
<Package>weka.gui.sql.event	weka.gui.sql.event	low	low	low-medium	low	8	4	4	145	7	2	0.5	0.222	0.278	31		
<Package>weka.gui.streams	weka.gui.streams	low	low-medium	medium-high	low	11	8	3	536	0	7	0.273	1.0	0.273	148		
<Package>weka.gui.treevisualizer	weka.gui.treevisualizer	low-medium	low	medium-high	low	17	15	2	2476	9	2	0.118	0.182	0.7	482		
<Package>weka.gui.visualize	weka.gui.visualize	high	medium-high	high	low	34	29	5	5451	40	15	0.176	0.273	0.551	1183		
<Package>weka.gui.visualize.plugins	weka.gui.visualize.plugins	low	low	low	low	5	0	5	23	3	3	1.0	0.5	0.5	17		
<Package>weka.knowledgeflow	weka.knowledgeflow	medium-high	medium-high	medium-high	low	28	19	9	2629	82	18	0.357	0.18	0.463	795		
<Package>weka.knowledgeflow.steps	weka.knowledgeflow.steps	very-high	high	very-high	low	83	74	9	9812	54	58	0.169	0.518	0.313	2564		
