QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
xerces-java-trunk
<Package>		low	low	low-medium	low						9	700													
DesignDoc	DesignDoc	low	low	medium-high	low	0	2	1	0	0	1	674	58	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
Stylesheet	Stylesheet	low	low	low	low	0	0	0	0	0	0	26	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
<Package>dom	dom	low	low	low-medium	low						67	1247													
dom.Counter	Counter	low	low	low-medium	low	0	1	0	0	0	11	297	49	4	11	0	1	0	0.0	0.0	0.0	0	0.0		
dom.DOM3	DOM3	low	low	low-medium	low	0	2	0	0	0	2	59	6	0	3	1	1	0	0.0	0.0	0.0	0	0.0		
dom.DOMAddLines	DOMAddLines	low	low	low-medium	low	0	1	0	0	0	1	134	5	0	1	0	1	0	0.0	0.0	0.0	0	0.0		
dom.DOMGenerate	DOMGenerate	low	low	low	low	0	0	0	0	0	0	29	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
dom.ElementPrinter	ElementPrinter	low	low	low	low	0	1	0	0	0	1	33	2	0	0	0	1	0	0.0	0.0	0.0	0	0.0		
dom.GetElementsByTagName	GetElementsByTagName	low	low	low-medium	low	0	1	0	0	0	11	264	50	0	10	0	1	0	0.0	0.0	0.0	0	0.0		
dom.ParserWrapper	ParserWrapper	low	low	low	low	0	1	0	1	0	3	7	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
dom.Writer	Writer	low-medium	low	medium-high	low	0	5	0	0	0	37	424	97	2	13	4	1	0	0.956	0.4	0.667	0	0.0		
<Package>dom.events	dom.events	low	low	low	low						2	40													
dom.events.EventReporter	EventReporter	low	low	low	low	0	2	0	0	0	2	40	10	2	0	2	0	0	1.0	0.0	0.0	0	0.0		
<Package>dom.traversal	dom.traversal	low	low	low-medium	low						11	775													
dom.traversal.AbstractTestCase	AbstractTestCase	low	low	low	low	0	2	0	0	0	3	29	11	0	0	2	0	0	0.0	0.0	0.0	0	0.0		
dom.traversal.IteratorView	IteratorView	low	low	medium-high	low	0	1	0	0	0	2	331	3	0	1	1	0	0	0.0	0.0	0.0	0	0.0		
dom.traversal.NameNodeFilter	NameNodeFilter	low	low	low	low	0	2	0	0	0	2	17	4	1	0	2	0	0	0.0	0.25	0.0	0	0.0		
dom.traversal.TreeWalkerView	TreeWalkerView	low	low	medium-high	low	0	1	0	0	0	2	398	3	0	1	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>dom.util	dom.util	low	low	low	low						1	27													
dom.util.Assertion	Assertion	low	low	low	low	0	1	0	0	0	1	27	2	0	0	0	1	0	0.0	0.0	0.0	0	0.0		
<Package>dom.wrappers	dom.wrappers	low	low	low	low						1	40													
dom.wrappers.Xerces	Xerces	low	low	low	low	0	1	0	0	0	1	40	2	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>io	io	low	low	low-medium	low						41	447													
io.UTF16	UTF16	low	low	low-medium	low	0	1	0	0	0	7	202	42	0	0	0	1	0	0.0	0.0	0.0	0	0.0		
io.UTF8	UTF8	low	low	low-medium	low	0	1	0	0	0	1	245	6	0	0	0	1	0	0.0	0.0	0.0	0	0.0		
<Package>jaxp	jaxp	low	low	low-medium	low						27	1227													
jaxp.DatatypeAPIUsage	DatatypeAPIUsage	low	low	low	low	0	0	0	0	0	0	48	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
jaxp.InlineSchemaValidator	InlineSchemaValidator	low	low	medium-high	low	0	1	0	0	0	6	375	39	0	6	0	1	0	0.0	0.0	0.0	0	0.0		
jaxp.InputData	InputData	low	low	low	low	0	0	0	0	0	0	8	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
jaxp.JAXPConstants	JAXPConstants	low	low	low	low	0	0	0	1	0	0	9	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
jaxp.ParserAPIUsage	ParserAPIUsage	low	low	low-medium	low	0	2	0	0	0	4	125	17	0	2	1	1	0	0.0	0.0	0.0	0	0.0		
jaxp.SourceValidator	SourceValidator	low	low	medium-high	low	0	2	0	0	0	7	334	41	0	6	1	1	0	0.0	0.0	0.0	0	0.0		
jaxp.TypeInfoWriter	TypeInfoWriter	low	low	medium-high	low	0	5	1	0	0	10	328	44	1	4	4	1	0	0.867	0.0	0.667	0	0.0		
<Package>org.apache.html.dom	org.apache.html.dom	low	low	very-high	low						192	2731													
org.apache.html.dom.CollectionIndex	CollectionIndex	low	low	low	low	0	4	0	0	0	4	10	8	1	0	4	0	0	0.0	0.375	0.0	0	0.0		
