START_ID;END_ID;relationship;:TYPE
P1;T1051;publishes;PUBLISHES
P1;T1841;publishes;PUBLISHES
P1;T1607;publishes;PUBLISHES
P1;T1335;publishes;PUBLISHES
P1;T1914;publishes;PUBLISHES
P1;T1848;publishes;PUBLISHES
P1;T1390;publishes;PUBLISHES
P1;T398;publishes;PUBLISHES
P1;T1885;publishes;PUBLISHES
P1;T1325;publishes;PUBLISHES
P2;T213;publishes;PUBLISHES
P2;T1413;publishes;PUBLISHES
P2;T1565;publishes;PUBLISHES
P2;T1607;publishes;PUBLISHES
P2;T1837;publishes;PUBLISHES
P2;T819;publishes;PUBLISHES
P2;T258;publishes;PUBLISHES
P2;T1394;publishes;PUBLISHES
P2;T373;publishes;PUBLISHES
P2;T1452;publishes;PUBLISHES
P3;T421;publishes;PUBLISHES
P3;T1135;publishes;PUBLISHES
P3;T496;publishes;PUBLISHES
P3;T824;publishes;PUBLISHES
P3;T266;publishes;PUBLISHES
P3;T866;publishes;PUBLISHES
P3;T1225;publishes;PUBLISHES
P3;T558;publishes;PUBLISHES
P3;T1993;publishes;PUBLISHES
P3;T657;publishes;PUBLISHES
P4;T375;publishes;PUBLISHES
P4;T1375;publishes;PUBLISHES
P4;T705;publishes;PUBLISHES
P4;T1199;publishes;PUBLISHES
P4;T453;publishes;PUBLISHES
P4;T1366;publishes;PUBLISHES
P4;T1813;publishes;PUBLISHES
P4;T567;publishes;PUBLISHES
P4;T242;publishes;PUBLISHES
P4;T1282;publishes;PUBLISHES
P5;T923;publishes;PUBLISHES
P5;T1625;publishes;PUBLISHES
P5;T760;publishes;PUBLISHES
P5;T1463;publishes;PUBLISHES
P5;T1901;publishes;PUBLISHES
P5;T363;publishes;PUBLISHES
P5;T366;publishes;PUBLISHES
P5;T1836;publishes;PUBLISHES
P5;T246;publishes;PUBLISHES
P5;T519;publishes;PUBLISHES
P6;T868;publishes;PUBLISHES
P6;T532;publishes;PUBLISHES
P6;T422;publishes;PUBLISHES
P6;T1832;publishes;PUBLISHES
P6;T1686;publishes;PUBLISHES
P6;T1308;publishes;PUBLISHES
P6;T664;publishes;PUBLISHES
P6;T713;publishes;PUBLISHES
P6;T1576;publishes;PUBLISHES
P6;T1418;publishes;PUBLISHES
P7;T1464;publishes;PUBLISHES
P7;T483;publishes;PUBLISHES
P7;T933;publishes;PUBLISHES
P7;T1115;publishes;PUBLISHES
P7;T107;publishes;PUBLISHES
P7;T429;publishes;PUBLISHES
P7;T48;publishes;PUBLISHES
P7;T996;publishes;PUBLISHES
P7;T1286;publishes;PUBLISHES
P7;T54;publishes;PUBLISHES
P8;T449;publishes;PUBLISHES
P8;T1962;publishes;PUBLISHES
P8;T66;publishes;PUBLISHES
P8;T1694;publishes;PUBLISHES
P8;T1849;publishes;PUBLISHES
P8;T1283;publishes;PUBLISHES
P8;T1139;publishes;PUBLISHES
P8;T1786;publishes;PUBLISHES
P8;T1129;publishes;PUBLISHES
P8;T1614;publishes;PUBLISHES
P9;T1835;publishes;PUBLISHES
P9;T603;publishes;PUBLISHES
P9;T1321;publishes;PUBLISHES
P9;T1549;publishes;PUBLISHES
P9;T1994;publishes;PUBLISHES
P9;T1355;publishes;PUBLISHES
P9;T684;publishes;PUBLISHES
P9;T777;publishes;PUBLISHES
P9;T896;publishes;PUBLISHES
P9;T1579;publishes;PUBLISHES
P10;T499;publishes;PUBLISHES
P10;T526;publishes;PUBLISHES
P10;T1831;publishes;PUBLISHES
P10;T1481;publishes;PUBLISHES
P10;T1283;publishes;PUBLISHES
P10;T892;publishes;PUBLISHES
P10;T584;publishes;PUBLISHES
P10;T479;publishes;PUBLISHES
P10;T123;publishes;PUBLISHES
P10;T470;publishes;PUBLISHES
P11;T1381;publishes;PUBLISHES
P11;T405;publishes;PUBLISHES
P11;T815;publishes;PUBLISHES
P11;T689;publishes;PUBLISHES
P11;T1515;publishes;PUBLISHES
P11;T1232;publishes;PUBLISHES
P11;T561;publishes;PUBLISHES
P11;T101;publishes;PUBLISHES
P11;T1024;publishes;PUBLISHES
P11;T717;publishes;PUBLISHES
P12;T6;publishes;PUBLISHES
P12;T1495;publishes;PUBLISHES
P12;T1900;publishes;PUBLISHES
P12;T378;publishes;PUBLISHES
P12;T964;publishes;PUBLISHES
P12;T952;publishes;PUBLISHES
P12;T954;publishes;PUBLISHES
P12;T248;publishes;PUBLISHES
P12;T1079;publishes;PUBLISHES
P12;T1276;publishes;PUBLISHES
P13;T1000;publishes;PUBLISHES
P13;T1818;publishes;PUBLISHES
P13;T984;publishes;PUBLISHES
P13;T1756;publishes;PUBLISHES
P13;T101;publishes;PUBLISHES
P13;T214;publishes;PUBLISHES
P13;T15;publishes;PUBLISHES
P13;T1484;publishes;PUBLISHES
P13;T1540;publishes;PUBLISHES
P13;T513;publishes;PUBLISHES
P14;T750;publishes;PUBLISHES
P14;T637;publishes;PUBLISHES
P14;T148;publishes;PUBLISHES
P14;T28;publishes;PUBLISHES
P14;T417;publishes;PUBLISHES
P14;T462;publishes;PUBLISHES
P14;T1815;publishes;PUBLISHES
P14;T1497;publishes;PUBLISHES
P14;T1552;publishes;PUBLISHES
P14;T1240;publishes;PUBLISHES
P15;T1419;publishes;PUBLISHES
P15;T945;publishes;PUBLISHES
P15;T443;publishes;PUBLISHES
P15;T121;publishes;PUBLISHES
P15;T909;publishes;PUBLISHES
P15;T959;publishes;PUBLISHES
P15;T654;publishes;PUBLISHES
P15;T724;publishes;PUBLISHES
P15;T1335;publishes;PUBLISHES
P15;T105;publishes;PUBLISHES
P16;T832;publishes;PUBLISHES
P16;T1597;publishes;PUBLISHES
P16;T451;publishes;PUBLISHES
P16;T530;publishes;PUBLISHES
P16;T1724;publishes;PUBLISHES
P16;T287;publishes;PUBLISHES
P16;T858;publishes;PUBLISHES
